item_id,category,brand,price,cost,launch_date
i200000,Grocery,PantryPlus,34.3,14.36,2023-12-03
i200001,Grocery,FreshFarm,68.44,46.46,2024-11-04
i200002,Sports,ProFit,391.53,164.61,2023-12-03
i200003,Home,CasaBella,800.0,568.55,2025-06-30
i200004,Sports,MoveWell,330.14,135.58,2023-04-26
i200005,Home,HomeEase,223.75,165.95,2023-07-22
i200006,Home,HomeEase,279.62,161.3,2024-05-20
i200007,Grocery,FreshFarm,13.38,10.22,2023-10-05
i200008,Electronics,ElecMax,3339.59,2221.61,2023-05-05
i200009,Beauty,Beautify,300.0,175.43,2024-01-13
i200010,Electronics,ElecMax,2409.9,1543.95,2023-02-25
i200011,Home,CasaBella,51.86,36.78,2025-08-21
i200012,Fashion,UrbanStyle,263.87,108.99,2025-05-26
i200013,Electronics,ElecMax,5000.0,2670.6,2023-08-24
i200014,Electronics,ElecMax,1563.65,1228.88,2023-12-19
i200015,Fashion,TrendWear,513.78,308.31,2025-08-26
i200016,Beauty,GlowUp,39.77,26.8,2025-08-06
i200017,Grocery,FreshFarm,35.83,27.61,2025-04-05
i200018,Fashion,ClassicCloth,188.32,105.66,2025-07-17
i200019,Fashion,ClassicCloth,386.02,223.78,2024-04-20
i200020,Electronics,ElecMax,697.21,381.98,2024-07-15
i200021,Sports,Sportive,274.74,165.96,2023-10-15
i200022,Toys,FunTime,163.01,81.24,2025-01-19
i200023,Electronics,GigaPro,820.03,572.26,2023-02-08
i200024,Electronics,Techio,1309.72,946.68,2023-06-27
i200025,Grocery,DailyGood,63.03,49.25,2024-05-10
i200026,Home,CasaBella,99.95,72.25,2023-05-16
i200027,Beauty,PureSkin,15.47,12.38,2023-04-18
i200028,Sports,ProFit,225.28,147.91,2025-03-28
i200029,Sports,ProFit,307.68,222.72,2023-03-02
i200030,Beauty,Beautify,26.62,18.94,2024-05-13
i200031,Home,ComfortCo,190.08,133.14,2024-03-13
i200032,Toys,Playful,78.95,50.4,2023-12-21
i200033,Beauty,PureSkin,191.26,104.97,2023-07-15
i200034,Fashion,TrendWear,256.39,174.82,2023-03-30
i200035,Sports,ProFit,90.89,37.24,2024-04-25
i200036,Home,ComfortCo,452.84,279.61,2025-11-18
i200037,Fashion,TrendWear,485.6,379.9,2025-11-11
i200038,Home,HomeEase,531.46,295.57,2023-08-16
i200039,Fashion,UrbanStyle,53.25,24.38,2025-02-02
i200040,Beauty,GlowUp,98.49,48.26,2023-03-06
i200041,Fashion,UrbanStyle,144.45,96.74,2025-10-14
i200042,Beauty,PureSkin,106.43,57.55,2023-03-04
i200043,Fashion,ClassicCloth,616.23,270.54,2025-12-06
i200044,Electronics,NovaTek,2242.05,1783.44,2024-06-16
i200045,Electronics,ElecMax,2916.83,2202.17,2023-06-22
i200046,Fashion,ClassicCloth,105.06,66.76,2024-08-05
i200047,Fashion,UrbanStyle,143.06,68.12,2025-03-15
i200048,Toys,KidJoy,33.84,22.61,2023-07-22
i200049,Home,HomeEase,642.21,351.8,2023-05-23
i200050,Toys,Playful,114.76,81.64,2024-04-16
i200051,Sports,ProFit,414.0,301.56,2025-10-12
i200052,Home,CasaBella,337.2,235.78,2025-11-04
i200053,Grocery,DailyGood,48.4,21.85,2024-09-25
i200054,Home,CasaBella,108.98,67.88,2023-11-26
i200055,Beauty,Beautify,26.3,17.58,2025-07-24
i200056,Grocery,DailyGood,98.05,52.26,2023-06-01
i200057,Home,CasaBella,450.99,295.78,2025-09-26
i200058,Electronics,Techio,611.2,485.42,2023-05-20
i200059,Fashion,ClassicCloth,283.59,128.91,2025-04-24
i200060,Sports,ProFit,188.91,138.08,2025-11-16
i200061,Electronics,ElecMax,1123.87,541.88,2023-02-06
i200062,Electronics,Techio,1610.13,824.63,2023-04-16
i200063,Electronics,NovaTek,997.61,714.64,2023-06-04
i200064,Sports,ProFit,372.06,241.51,2025-03-09
i200065,Grocery,FreshFarm,36.25,25.37,2023-01-03
i200066,Grocery,FreshFarm,44.74,30.7,2023-07-22
i200067,Grocery,DailyGood,12.98,5.42,2025-02-17
i200068,Fashion,UrbanStyle,265.38,177.99,2024-04-26
i200069,Beauty,PureSkin,10.53,8.34,2023-03-07
i200070,Grocery,PantryPlus,53.07,37.08,2024-10-12
i200071,Grocery,DailyGood,46.52,29.65,2023-06-19
i200072,Electronics,Techio,485.4,260.67,2023-02-01
i200073,Electronics,NovaTek,3252.2,1894.55,2023-09-19
i200074,Fashion,UrbanStyle,397.6,315.77,2025-08-15
i200075,Electronics,Techio,1824.22,1019.56,2025-06-28
i200076,Toys,KidJoy,116.14,49.46,2023-10-23
i200077,Sports,MoveWell,914.68,675.65,2024-08-26
i200078,Sports,Sportive,229.12,151.83,2024-09-14
i200079,Grocery,PantryPlus,159.24,95.4,2025-01-23
i200080,Grocery,PantryPlus,95.88,48.34,2023-01-22
i200081,Fashion,TrendWear,64.96,50.42,2025-11-22
i200082,Electronics,Techio,1061.98,473.92,2025-06-26
i200083,Electronics,Techio,296.81,140.31,2023-08-10
i200084,Grocery,FreshFarm,59.52,27.79,2023-03-22
i200085,Home,ComfortCo,229.92,123.29,2023-08-13
i200086,Electronics,GigaPro,3639.82,2289.12,2025-06-28
i200087,Beauty,PureSkin,185.68,92.51,2024-08-25
i200088,Fashion,ClassicCloth,49.34,31.64,2025-02-19
i200089,Grocery,PantryPlus,23.03,14.26,2023-12-08
i200090,Electronics,Techio,2399.9,1341.28,2023-02-21
i200091,Beauty,Beautify,55.73,38.95,2024-06-05
i200092,Toys,Playful,53.03,22.07,2024-07-23
i200093,Grocery,FreshFarm,83.07,39.16,2023-10-17
i200094,Electronics,Techio,489.0,299.85,2025-01-11
i200095,Toys,FunTime,64.41,27.24,2025-07-24
i200096,Toys,Playful,65.94,44.64,2025-06-17
i200097,Home,ComfortCo,139.34,67.47,2024-05-21
i200098,Fashion,UrbanStyle,104.06,66.85,2023-06-24
i200099,Grocery,FreshFarm,54.83,24.57,2024-06-22
i200100,Sports,ProFit,799.72,605.42,2023-06-29
i200101,Electronics,NovaTek,2116.19,980.21,2024-10-02
i200102,Grocery,FreshFarm,36.99,27.96,2025-10-28
i200103,Grocery,PantryPlus,14.49,9.34,2024-08-10
i200104,Fashion,UrbanStyle,364.21,200.83,2024-07-07
i200105,Toys,Playful,22.75,10.2,2023-09-15
i200106,Toys,KidJoy,31.77,14.51,2025-07-02
i200107,Fashion,UrbanStyle,156.69,118.51,2023-10-12
i200108,Fashion,TrendWear,190.1,89.85,2025-07-27
i200109,Sports,MoveWell,141.68,63.19,2024-02-02
i200110,Home,HomeEase,587.32,382.07,2024-07-10
i200111,Beauty,GlowUp,181.96,117.68,2024-12-17
i200112,Fashion,ClassicCloth,433.81,340.51,2023-01-12
i200113,Electronics,NovaTek,1754.99,1368.25,2024-06-10
